descmaq,colaborador,numapont,data,maq, qtdprodconfirmada ,numdaop,codproduto,descricaodeproduto,nomedocliente,coddepto,descdepto,codcliente,horainical,horatermino
NEW LONG 20,,4254235,2026-03-02,165020,16113,1177833/0050,13019720-0001,SACL PAP AUT NLN FSC® P INST22 T&F,TRACK & FIELD,01,FLEXOGRAFICA,1,22:00:00,06:00:00
NEW LONG 24,,4254236,2026-03-02,165024,23608,1178337/0020,13020815-0001,SACL PAP AUT FSC® M INST24 DECATHLON,DECATHLON,01,FLEXOGRAFICA,1,22:00:00,06:00:00
NEW LONG 11 - P,,4254239,2026-03-02,165011,24907,1179199/0030,13012300-0001,SACL PAP AUT FSC® P INST LINDT,LINDT,01,FLEXOGRAFICA,1,22:00:00,06:00:00
HOT BOBINA 01 ,,4254241,2026-03-02,175001,19768,1180971/0020,13021463-0001,90821 SACL PAP NLF FSC®P PDVG INST25 BOT,BOTICARIO,02,OFFSET,1,22:00:00,03:18:37
NEW LONG 4,,4254242,2026-03-02,165004,13187,1179836/0040,13021348-0001,90819 SACL PAP AUT FSC®PP PDVG INST25 BO,BOTICARIO,01,FLEXOGRAFICA,1,22:00:00,06:00:00
NEW LONG 8,,4254243,2026-03-02,165008,24145,1179938/0020,2100073692,SACL AUT FSC® MINI BAS,NATURA,01,FLEXOGRAFICA,1,22:00:00,06:00:00
MK HEIDELBERG PROMATRIX 2,,4254253,2026-03-02,155012,675,1175005/0040,2100078739,CAPA EXT TPA TIPO E FSC®TENIS U NETSHOES,NETSHOES,02,OFFSET,1,22:00:00,22:17:19
ONYX 808,,4254261,2026-03-02,160007,98505,1180451/0010,13020040-0001,SACL PAP AUT FSC® M INST23 PDV EUD,EUDORA,01,FLEXOGRAFICA,1,22:00:00,06:00:00
NEW LONG 3,,4254272,2026-03-02,165003,25836,1180991/0020,13020033-0001,SACL PAP AUT FSC® P INST23 PDV EUD,EUDORA,01,FLEXOGRAFICA,1,22:00:00,06:00:00
NEW LONG FOLHA,,4254281,2026-03-02,165019,11826,1180681/0050,13021506-0001,SACL PAP AUT NLF P INST26 KOP,KOPENHAGEN,01,FLEXOGRAFICA,1,22:00:00,06:00:00
NEW LONG 21,,4254282,2026-03-02,165021,9125,1179865/0050,13021635-0001,94371 SACL PAP NLF FSC®M MAES26 EUD,EUDORA,01,FLEXOGRAFICA,1,22:00:00,06:00:00
SACOS FUNDO MATADOR 1 - HOLWEG,,4254285,2026-03-02,166006,2863,1178317/0040,13019833-0001,SACL PAP AUT PP ALCA VAZ INST22 KOP,KOPENHAGEN,01,FLEXOGRAFICA,1,22:00:00,23:32:59
APLICADORA DE ALÇA 2,,4254289,2026-03-02,168003,12427,1179562/0010,11044714-0001,SACL PAP MAN FSC® M LIFE VIVARA,VIVARA,08,CAJAMAR,1,22:00:00,06:00:00
NEW LONG 22,,4254314,2026-03-02,165022,28480,1181344/0021,13019478-0002,SACL PAP AUT FSC® P V2 INST22 RENNER,RENNER,01,FLEXOGRAFICA,1,22:00:00,06:00:00
NEW LONG 10 INDUSTRIAL,,4254316,2026-03-02,165010,34183,1180636/0020,13019898-0002,SACL PAP AUT FSC® M INST23 V3 LUPO,LUPO,01,FLEXOGRAFICA,1,22:00:00,06:00:00
HOT BOBINA 02,,4254318,2026-03-02,175002,20895,1180681/0020,13021506-0001,SACL PAP AUT NLF P INST26 KOP,KOPENHAGEN,02,OFFSET,1,22:00:00,03:00:01
HOT BOBINA 03,,4254320,2026-03-02,175003,249,1180089/0020,13021640-0001,96444 SACL PAP NLF FSC®G PDVG MAES26 BOT,BOTICARIO,02,OFFSET,1,22:00:00,22:04:28
GUILHOTINA POLAR 150,,4254341,2026-03-02,151006,30400,1180681/0040,13021506-0001,SACL PAP AUT NLF P INST26 KOP,KOPENHAGEN,02,OFFSET,1,22:00:00,06:00:00
SACL FOLHA 8 - ZB,,4254388,2026-03-02,165108,7762,1180204/0032,13021637-0001,96442 SACL PAP NLF FSC®P PDVG MAES26 BOT,BOTICARIO,01,FLEXOGRAFICA,1,22:00:00,00:33:46
CORTE E SOLDA 3,,4254392,2026-03-02,167103,1358,1173042/0010,13012349-0001,SACO TRANSP BOPP 15X22 PP,CHOC BRASIL CACAU,01,FLEXOGRAFICA,1,22:00:00,06:00:00
HOT BOBINA 03,,4254410,2026-03-02,175003,16818,1180089/0020,13021640-0001,96444 SACL PAP NLF FSC®G PDVG MAES26 BOT,BOTICARIO,02,OFFSET,1,22:04:28,06:00:00
CORTADEIRA FURNAX,,4254414,2026-03-02,150001,50309,1178314/0020,13019721-0001,SACL PAP AUT NLN FSC® M INST22 T&F,TRACK & FIELD,02,OFFSET,1,22:12:47,06:00:00
MÁQUINA ALÇA FLET 2,,4254417,2026-03-02,163002,133451,1181492/0030,2400009888,FIO CHATA FSCM BEGE SAMAECO MAES26 BOT,BOTICARIO,01,FLEXOGRAFICA,1,22:18:45,04:44:17
TORCEDEIRA 11 GALAN,,4254418,2026-03-02,163011,57230,1181079/0022,2200000017,FIO P.T FSCM - A02 - PARDO - XXXX, ,01,FLEXOGRAFICA,1,22:19:03,06:00:00
SACL FOLHA 7 - ZB,,4254429,2026-03-02,165107,26520,1180205/0030,13021637-0001,96442 SACL PAP NLF FSC®P PDVG MAES26 BOT,BOTICARIO,01,FLEXOGRAFICA,1,22:21:45,06:00:00
C/V HEIDELBERG PROMATRIX 1 ,,4254432,2026-03-02,155010,2892,1180582/0050,2100023756,SACL PAP MAN FSC P 2016 TOMMY IF00031,TOMMY,02,OFFSET,1,22:25:05,00:06:39
MK HEIDELBERG PROMATRIX 2,,4254437,2026-03-02,155012,12771,1181491/0040,2100080232,61022252 SACL PAP NLF FSC®P STD 26 AVON,NATURA,02,OFFSET,1,22:35:52,05:05:10
REBOBINADEIRA 6,,4254445,2026-03-02,162006,5831,1179926/0005,2100072230,SACL AUT FSC® P BAS NAT,NATURA,01,FLEXOGRAFICA,1,22:57:02,23:27:34
REBOBINADEIRA 1,,4254448,2026-03-02,162001,5328,1181493/0020,2400009888,FIO CHATA FSCM BEGE SAMAECO MAES26 BOT,BOTICARIO,01,FLEXOGRAFICA,1,22:59:07,23:00:40
CORTADEIRA SEMIGO,,4254451,2026-03-02,150003,21303,1181045/0010,2100081194,SACL PAP MAN FSC®M MAES26 AREZZO,AREZZO,02,OFFSET,1,23:03:02,06:00:00
GUILHOTINA HERCULES,,4254453,2026-03-02,151004,1534,1181485/0020,2100081560,SACL PAP MAN FSC®M LILY26 BOT,BOTICARIO,02,OFFSET,1,23:16:54,02:44:44
REBOBINADEIRA 1,,4254454,2026-03-02,162001,16201,1180464/0010,2400008604,FIO CHATA FSCM - C37 - LR - 7578C, ,01,FLEXOGRAFICA,1,23:24:55,06:00:00
NEW LONG 23,,4254458,2026-03-02,165023,25939,1179923/0020,2100072230,SACL AUT FSC® P BAS NAT,,01,FLEXOGRAFICA,1,23:36:01,06:00:00
SACL FOLHA 4 - ZB,,4254460,2026-03-02,165104,19405,1180084/0030,13021637-0001,96442 SACL PAP NLF FSC®P PDVG MAES26 BOT,BOTICARIO,01,FLEXOGRAFICA,1,23:52:28,04:35:30
SACL FOLHA 8 - ZB,,4254464,2026-03-02,165108,144,1179296/0045,13021463-0001,90821 SACL PAP NLF FSC®P PDVG INST25 BOT,BOTICARIO,01,FLEXOGRAFICA,1,00:33:46,00:39:46
SACL FOLHA 2 - ZB,,4254469,2026-03-02,165102,21014,1180076/0031,13021639-0001,96443 SACL PAP NLF FSC®M PDVG MAES26 BOT,BOTICARIO,01,FLEXOGRAFICA,1,00:49:28,06:00:00
SACL FOLHA 6 - ZB,,4254470,2026-03-02,165106,27377,1180205/0033,13021637-0001,96442 SACL PAP NLF FSC®P PDVG MAES26 BOT,BOTICARIO,01,FLEXOGRAFICA,1,00:50:46,06:00:00
SACL FOLHA 3 - ZB,,4254471,2026-03-02,165103,20156,1180205/0035,13021637-0001,96442 SACL PAP NLF FSC®P PDVG MAES26 BOT,BOTICARIO,01,FLEXOGRAFICA,1,00:51:28,06:00:00
SACL FOLHA 1 - ZB,,4254472,2026-03-02,165101,24646,1180076/0030,13021639-0001,96443 SACL PAP NLF FSC®M PDVG MAES26 BOT,BOTICARIO,01,FLEXOGRAFICA,1,00:52:28,06:00:00
SACL FOLHA 5 - ZB,,4254473,2026-03-02,165105,21160,1180089/0030,13021640-0001,96444 SACL PAP NLF FSC®G PDVG MAES26 BOT,BOTICARIO,01,FLEXOGRAFICA,1,00:55:46,06:00:00
SACL FOLHA 9 - ZB,,4254474,2026-03-02,165109,19847,1180076/0032,13021639-0001,96443 SACL PAP NLF FSC®M PDVG MAES26 BOT,BOTICARIO,01,FLEXOGRAFICA,1,00:56:46,06:00:00
GUILHOTINA HERCULES,,4254480,2026-03-02,151004,24842,1181045/0020,2100081194,SACL PAP MAN FSC®M MAES26 AREZZO,AREZZO,02,OFFSET,1,02:45:16,06:00:00
HOT BOBINA 02,,4254487,2026-03-02,175002,7034,1181468/0020,13021506-0001,SACL PAP AUT NLF P INST26 KOP,KOPENHAGEN,02,OFFSET,1,03:01:35,06:00:00
HOT BOBINA 01 ,,4254489,2026-03-02,175001,7143,1180971/0020,13021463-0001,90821 SACL PAP NLF FSC®P PDVG INST25 BOT,BOTICARIO,02,OFFSET,1,03:18:37,06:00:00
FLEXO TECH,,4254492,2026-03-02,160008,27171,1179926/0010,2100072230,SACL AUT FSC® P BAS NAT,,01,FLEXOGRAFICA,1,03:24:54,06:00:00
SACL FOLHA 4 - ZB,,4254506,2026-03-02,165104,5548,1180204/0031,13021637-0001,96442 SACL PAP NLF FSC®P PDVG MAES26 BOT,BOTICARIO,01,FLEXOGRAFICA,1,04:36:30,06:00:00
NEW LONG 22,,4254513,2026-03-03,165022,5217,1181344/0021,13019478-0002,SACL PAP AUT FSC® P V2 INST22 RENNER,RENNER,01,FLEXOGRAFICA,1,06:00:00,14:00:00
NEW LONG 23,,4254514,2026-03-03,165023,33292,1179923/0020,2100072230,SACL AUT FSC® P BAS NAT,NATURA,01,FLEXOGRAFICA,1,06:00:00,12:10:36
NEW LONG 10 INDUSTRIAL,,4254515,2026-03-03,165010,34282,1180636/0020,13019898-0002,SACL PAP AUT FSC® M INST23 V3 LUPO,LUPO,01,FLEXOGRAFICA,1,06:00:00,13:55:05
NEW LONG 20,,4254516,2026-03-03,165020,16737,1177833/0050,13019720-0001,SACL PAP AUT NLN FSC® P INST22 T&F,TRACK & FIELD,01,FLEXOGRAFICA,1,06:00:00,14:00:00
CORTADEIRA SEMIGO,,4254517,2026-03-03,150003,3606,1181045/0010,2100081194,SACL PAP MAN FSC®M MAES26 AREZZO,AREZZO,02,OFFSET,1,06:00:00,07:57:55
FLEXO TECH,,4254518,2026-03-03,160008,6527,1179926/0010,2100072230,SACL AUT FSC® P BAS NAT,NATURA,01,FLEXOGRAFICA,1,06:00:00,07:20:35
REBOBINADEIRA 1,,4254519,2026-03-03,162001,5525,1180464/0010,2400008604,FIO CHATA FSCM - C37 - LR - 7578C, ,01,FLEXOGRAFICA,1,06:00:00,07:47:56
HEIDELBERG XL 106,,4254522,2026-03-03,152007,14149,1180904/0060,11054482-0001,CTCHO FDO AUT FSC®M MAES26 ANACAPRI,ANACAPRI,02,OFFSET,1,06:00:00,12:24:35
SILK SCREEN,,4254523,2026-03-03,153001,4021,1175009/0030,2100078741,CAPA EXT FDO TIPO E FSC®TENIS U NETSHOES,NETSHOES,02,OFFSET,1,06:00:00,11:23:36
MÁQUINA ALÇA FLET 3,,4254543,2026-03-03,163003,28716,1181492/0031,2400009888,FIO CHATA FSCM BEGE SAMAECO MAES26 BOT,BOTICARIO,01,FLEXOGRAFICA,1,06:00:00,07:41:34
NEW LONG 5,,4254550,2026-03-03,165005,24408,1179327/0020,13019540-0001,50381317 SACL PAP AUT FSC®PP GEN MEX EXP,NATURA MEXICO,01,FLEXOGRAFICA,1,06:00:00,14:00:00
NEW LONG 8,,4254552,2026-03-03,165008,21602,1179938/0020,2100073692,SACL AUT FSC® MINI BAS,NATURA,01,FLEXOGRAFICA,1,06:00:00,14:00:00
NEW LONG 16 P,,4254556,2026-03-03,165016,12818,1179202/0020,13020033-0001,SACL PAP AUT FSC® P INST23 PDV EUD,EUDORA,01,FLEXOGRAFICA,1,06:00:00,14:00:00
NEW LONG 17 P,,4254557,2026-03-03,165017,12809,1180612/0020,13019433-0003,SACL PAP AUT FSC® P INST23 V3 LUPO,LUPO,01,FLEXOGRAFICA,1,06:00:00,14:00:00
NEW LONG 18 G,,4254558,2026-03-03,165018,16640,1179945/0020,2100072233,50495344 SACL AUT FSC®M BAS PAC10,NATURA,01,FLEXOGRAFICA,1,06:00:00,14:00:00
NEW LONG FOLHA,,4254559,2026-03-03,165019,15964,1180681/0050,13021506-0001,SACL PAP AUT NLF P INST26 KOP,KOPENHAGEN,01,FLEXOGRAFICA,1,06:00:00,14:00:00
NEW LONG 24,,4254590,2026-03-03,165024,12110,1178337/0020,13020815-0001,SACL PAP AUT FSC® M INST24 DECATHLON,DECATHLON,01,FLEXOGRAFICA,1,06:00:00,14:00:00
HOT BOBINA 02,,4254593,2026-03-03,175002,4816,1181468/0020,13021506-0001,SACL PAP AUT NLF P INST26 KOP,KOPENHAGEN,02,OFFSET,1,06:00:00,06:53:29
HOT BOBINA 03,,4254594,2026-03-03,175003,5280,1180089/0020,13021640-0001,96444 SACL PAP NLF FSC®G PDVG MAES26 BOT,BOTICARIO,02,OFFSET,1,06:00:00,08:01:54
NEW LONG 11 - P,,4254595,2026-03-03,165011,30985,1179199/0030,13012300-0001,SACL PAP AUT FSC® P INST LINDT,LINDT,01,FLEXOGRAFICA,1,06:00:00,14:00:00
NEW LONG 4,,4254596,2026-03-03,165004,5460,1179836/0040,13021348-0001,90819 SACL PAP AUT FSC®PP PDVG INST25 BO,BOTICARIO,01,FLEXOGRAFICA,1,06:00:00,14:00:00
APLICADORA DE ALÇA 2,,4254598,2026-03-03,168003,2288,1179562/0010,11044714-0001,SACL PAP MAN FSC® M LIFE VIVARA,VIVARA,08,CAJAMAR,1,06:00:00,08:12:50
GUILHOTINA 2,,4254601,2026-03-03,151002,72000,1181277/0030,2100077672,90823 REF FDO FSC®G PDVG INST25 BOT,BOTICARIO,02,OFFSET,1,06:00:00,11:16:54
GUILHOTINA - ACAB NL 03,,4254608,2026-03-03,151007,66440,1180744/0020,2100077669,90821 REF FDO FSC®P PDVG INST25 BOT,BOTICARIO,02,OFFSET,1,06:00:00,11:11:35
SACL FOLHA 9 - ZB,,4254668,2026-03-03,165109,851,1180076/0032,13021639-0001,96443 SACL PAP NLF FSC®M PDVG MAES26 BOT,BOTICARIO,01,FLEXOGRAFICA,1,06:00:00,08:31:49
CORTE E SOLDA 1,,4254669,2026-03-03,167101,6,1178387/0030,11052338-0001,SACO PLT P AMARRADINHO INST25 BOT,BOTICARIO,01,FLEXOGRAFICA,1,06:00:00,06:34:49
CORTE E SOLDA 3,,4254688,2026-03-03,167103,45452,1173042/0010,13012349-0001,SACO TRANSP BOPP 15X22 PP,CHOC BRASIL CACAU,01,FLEXOGRAFICA,1,06:11:49,14:00:00
TORCEDEIRA 12 GALAN,,4254689,2026-03-03,163012,52315,1181079/0021,2200000017,FIO P.T FSCM - A02 - PARDO - XXXX, ,01,FLEXOGRAFICA,1,06:16:36,13:55:59
COLADEIRA EASYGLUER SIMPLES,,4254691,2026-03-03,156004,2193,1179887/0050,2100069904,SACL PAP SAUT FSC M LOJA23 NATURA,NATURA VAREJO,02,OFFSET,1,06:21:27,11:31:43
ONYX 808,,4254692,2026-03-03,160007,7916,1180451/0010,13020040-0001,SACL PAP AUT FSC® M INST23 PDV EUD,EUDORA,01,FLEXOGRAFICA,1,06:26:24,07:43:04
MK HEIDELBERG PROMATRIX 2,,4254695,2026-03-03,155012,7809,1180467/0030,2100074572,SACL PAP MAN FSC® M INST23 DENGO,DENGO,02,OFFSET,1,06:35:49,08:35:10
COLADEIRA DGM,,4254697,2026-03-03,156015,28502,1180319/0060,2100080954,CX FDO P PRES INST26 BC,CHOC BRASIL CACAU,02,OFFSET,1,06:38:12,13:19:39
LAMINADORA ZFM1080S,,4254721,2026-03-03,161007,11011,1180895/0040,2100081093,SACL PAP MAN FSC®M MAES 26 LE LIS PT1,LE LIS BLANC,01,FLEXOGRAFICA,1,06:52:30,12:13:08
HOT BOBINA 02,,4254723,2026-03-03,175002,10068,1181468/0020,13021506-0001,SACL PAP AUT NLF P INST26 KOP,KOPENHAGEN,02,OFFSET,1,06:53:47,13:32:38
CORTADEIRA FURNAX,,4254726,2026-03-03,150001,13426,1178314/0020,13019721-0001,SACL PAP AUT NLN FSC® M INST22 T&F,TRACK & FIELD,02,OFFSET,1,06:57:10,11:19:43
HOT BOBINA 01 ,,4254731,2026-03-03,175001,29090,1180971/0020,13021463-0001,90821 SACL PAP NLF FSC®P PDVG INST25 BOT,BOTICARIO,02,OFFSET,1,06:59:21,14:00:00
GUILHOTINA HERCULES,,4254733,2026-03-03,151004,32036,1181045/0020,2100081194,SACL PAP MAN FSC®M MAES26 AREZZO,AREZZO,02,OFFSET,1,07:01:56,11:46:42
SACL FOLHA 4 - ZB,,4254737,2026-03-03,165104,21570,1180204/0031,13021637-0001,96442 SACL PAP NLF FSC®P PDVG MAES26 BOT,BOTICARIO,01,FLEXOGRAFICA,1,07:15:32,14:00:00
FLEXO TECH,,4254738,2026-03-03,160008,45279,1179926/0010,2100072230,SACL AUT FSC® P BAS NAT,NATURA,01,FLEXOGRAFICA,1,07:20:35,14:00:00
ROLAND 702,,4254741,2026-03-03,152005,11744,1180570/0020,2100057862,CAPA INT CX TIPO E ECOM P T&F,TRACK & FIELD,02,OFFSET,1,07:30:30,10:42:13
MÁQUINA ALÇA FLET 3,,4254749,2026-03-03,163003,122133,1181493/0031,2400009888,FIO CHATA FSCM BEGE SAMAECO MAES26 BOT,BOTICARIO,01,FLEXOGRAFICA,1,07:42:46,13:55:36
ONYX 808,,4254750,2026-03-03,160007,82849,1180451/0010,13020040-0001,SACL PAP AUT FSC® M INST23 PDV EUD,EUDORA,01,FLEXOGRAFICA,1,07:43:04,14:00:00
NEW LONG 3,,4254752,2026-03-03,165003,31289,1180991/0020,13020033-0001,SACL PAP AUT FSC® P INST23 PDV EUD,EUDORA,01,FLEXOGRAFICA,1,07:46:50,14:00:00
REBOBINADEIRA 1,,4254755,2026-03-03,162001,25168,1180464/0010,2400008604,FIO CHATA FSCM - C37 - LR - 7578C, ,01,FLEXOGRAFICA,1,07:48:14,14:00:00
REBOBINADEIRA 6,,4254756,2026-03-03,162006,51299,1180182/0010,2400008078,PAPEL FSCM 090G L0100 LINER WHITE SUZANO, ,01,FLEXOGRAFICA,1,07:48:26,11:47:56
CORTADEIRA SEMIGO,,4254758,2026-03-03,150003,3530,1181045/0010,2100081194,SACL PAP MAN FSC®M MAES26 AREZZO,AREZZO,02,OFFSET,1,07:57:55,12:03:28
HOT BOBINA 03,,4254759,2026-03-03,175003,10845,1180089/0020,13021640-0001,96444 SACL PAP NLF FSC®G PDVG MAES26 BOT,BOTICARIO,02,OFFSET,1,08:01:54,11:48:54
SACL FOLHA 6 - ZB,,4254767,2026-03-03,165106,8295,1180205/0033,13021637-0001,96442 SACL PAP NLF FSC®P PDVG MAES26 BOT,BOTICARIO,01,FLEXOGRAFICA,1,08:28:49,13:56:52
C/V AUTO VARIMATRIX 3,,4254774,2026-03-03,155007,4327,1180422/0020,2100077766,94315 REF ALCA FSC®M TOP INST25 BOT,BOTICARIO,02,OFFSET,1,08:42:00,11:24:33
SACL FOLHA 2 - ZB,,4254778,2026-03-03,165102,20756,1180076/0031,13021639-0001,96443 SACL PAP NLF FSC®M PDVG MAES26 BOT,BOTICARIO,01,FLEXOGRAFICA,1,08:58:33,14:00:00
MÁQUINA ALÇA FLET 2,,4254795,2026-03-03,163002,107947,1181493/0030,2400009888,FIO CHATA FSCM BEGE SAMAECO MAES26 BOT,BOTICARIO,01,FLEXOGRAFICA,1,10:12:53,14:00:00
TORCEDEIRA 11 GALAN,,4254796,2026-03-03,163011,52058,1181079/0022,2200000017,FIO P.T FSCM - A02 - PARDO - XXXX, ,01,FLEXOGRAFICA,1,10:13:12,14:00:00
ROLAND 702,,4254803,2026-03-03,152005,4496,1179893/0030,2100057900,CAPA INT TPA CX TIPO E ECOM TENIS 2 T&F,TRACK & FIELD,02,OFFSET,1,10:42:52,14:00:00
SACL FOLHA 8 - ZB,,4254806,2026-03-03,165108,11819,1180205/0034,13021637-0001,96442 SACL PAP NLF FSC®P PDVG MAES26 BOT,BOTICARIO,01,FLEXOGRAFICA,1,11:04:51,14:00:00
GUILHOTINA 2,,4254810,2026-03-03,151002,244800,1179191/0020,2100077669,90821 REF FDO FSC®P PDVG INST25 BOT,BOTICARIO,02,OFFSET,1,11:16:54,11:28:05
COLADEIRA EASYGLUER SIMPLES,,4254816,2026-03-03,156004,1344,1181011/0050,2100069904,SACL PAP SAUT FSC M LOJA23 NATURA,NATURA VAREJO,02,OFFSET,1,11:32:22,14:00:00
GUILHOTINA HERCULES,,4254819,2026-03-03,151004,1654,1181155/0020,2400009903,AMOSTRA CX TPA PAIS26 BOT, ,02,OFFSET,1,11:46:42,12:57:57
HOT BOBINA 03,,4254823,2026-03-03,175003,5736,1181145/0020,13021640-0001,96444 SACL PAP NLF FSC®G PDVG MAES26 BOT,BOTICARIO,02,OFFSET,1,11:50:51,14:00:00
SILK SCREEN,,4254826,2026-03-03,153001,1939,1175009/0020,2100078741,CAPA EXT FDO TIPO E FSC®TENIS U NETSHOES,NETSHOES,02,OFFSET,1,11:51:28,14:00:00
CORTADEIRA SEMIGO,,4254828,2026-03-03,150003,3531,1181045/0010,2100081194,SACL PAP MAN FSC®M MAES26 AREZZO,AREZZO,02,OFFSET,1,12:03:28,13:22:31
NEW LONG 23,,4254832,2026-03-03,165023,10520,1179926/0020,2100072230,SACL AUT FSC® P BAS NAT,NATURA,01,FLEXOGRAFICA,1,12:12:50,14:00:00
GUILHOTINA HERCULES,,4254844,2026-03-03,151004,7062,1181045/0020,2100081194,SACL PAP MAN FSC®M MAES26 AREZZO,AREZZO,02,OFFSET,1,12:58:29,14:00:00
GUILHOTINA 2,,4254846,2026-03-03,151002,91200,1181277/0030,2100077672,90823 REF FDO FSC®G PDVG INST25 BOT,BOTICARIO,02,OFFSET,1,13:08:02,13:25:35
CORTADEIRA SEMIGO,,4254848,2026-03-03,150003,2500,1181045/0010,2100081194,SACL PAP MAN FSC®M MAES26 AREZZO,AREZZO,02,OFFSET,1,13:22:31,13:39:33
SACL FOLHA 3 - ZB,,4254850,2026-03-03,165103,28676,1180205/0035,13021637-0001,96442 SACL PAP NLF FSC®P PDVG MAES26 BOT,BOTICARIO,01,FLEXOGRAFICA,1,13:26:35,14:00:00
SACL FOLHA 7 - ZB,,4254855,2026-03-03,165107,28942,1180205/0030,13021637-0001,96442 SACL PAP NLF FSC®P PDVG MAES26 BOT,BOTICARIO,01,FLEXOGRAFICA,1,13:29:52,14:00:00
HOT BOBINA 02,,4254859,2026-03-03,175002,8181,1181468/0020,13021506-0001,SACL PAP AUT NLF P INST26 KOP,KOPENHAGEN,02,OFFSET,1,13:32:59,14:00:00
SACL FOLHA 5 - ZB,,4254861,2026-03-03,165105,20933,1180089/0030,13021640-0001,96444 SACL PAP NLF FSC®G PDVG MAES26 BOT,BOTICARIO,01,FLEXOGRAFICA,1,13:34:51,14:00:00
SACL FOLHA 9 - ZB,,4254864,2026-03-03,165109,23609,1180076/0032,13021639-0001,96443 SACL PAP NLF FSC®M PDVG MAES26 BOT,BOTICARIO,01,FLEXOGRAFICA,1,13:37:52,14:00:00
NEW LONG 10 INDUSTRIAL,,4254871,2026-03-03,165010,378,1180636/0020,13019898-0002,SACL PAP AUT FSC® M INST23 V3 LUPO,LUPO,01,FLEXOGRAFICA,1,13:55:05,14:00:00
NEW LONG 5,,4254877,2026-03-03,165005,25755,1179327/0020,13019540-0001,50381317 SACL PAP AUT FSC®PP GEN MEX EXP,NATURA MEXICO,01,FLEXOGRAFICA,1,14:00:00,22:00:00
NEW LONG 16 P,,4254881,2026-03-03,165016,4922,1179202/0020,13020033-0001,SACL PAP AUT FSC® P INST23 PDV EUD,EUDORA,01,FLEXOGRAFICA,1,14:00:00,22:00:00
HEIDELBERG XL 106,,4254886,2026-03-03,152007,1346,1181155/0030,2400009903,AMOSTRA CX TPA PAIS26 BOT, ,02,OFFSET,1,14:00:00,22:00:00
SILK SCREEN,,4254887,2026-03-03,153001,3096,1175009/0020,2100078741,CAPA EXT FDO TIPO E FSC®TENIS U NETSHOES,NETSHOES,02,OFFSET,1,14:00:00,22:00:00
C/V HEIDELBERG PROMATRIX 1 ,,4254890,2026-03-03,155010,12205,1180904/0070,11054482-0001,CTCHO FDO AUT FSC®M MAES26 ANACAPRI,ANACAPRI,02,OFFSET,1,14:00:00,22:00:00
MK HEIDELBERG PROMATRIX 2,,4254891,2026-03-03,155012,5434,1180860/0020,11054487-0001,CX ECOMM FSC®S920 PAGSEGURO,PAGSEGURO,02,OFFSET,1,14:00:00,22:00:00
COLADEIRA EASYGLUER SIMPLES,,4254894,2026-03-03,156004,6132,1181011/0050,2100069904,SACL PAP SAUT FSC M LOJA23 NATURA,NATURA VAREJO,02,OFFSET,1,14:00:00,22:00:00
COLADEIRA SACOLA PREMIUM,,4254899,2026-03-03,156101,1086,1179128/0050,2100080330,SACL PAP MAN FSC®P INST25 ANACAPRI,ANACAPRI,02,OFFSET,1,14:00:00,15:06:26
ONYX 808,,4254900,2026-03-03,160007,24713,1180451/0010,13020040-0001,SACL PAP AUT FSC® M INST23 PDV EUD,EUDORA,01,FLEXOGRAFICA,1,14:00:00,16:10:03
NEW LONG 8,,4254907,2026-03-03,165008,23595,1179938/0020,2100073692,SACL AUT FSC® MINI BAS,NATURA,01,FLEXOGRAFICA,1,14:00:00,22:00:00
NEW LONG 12 - G,,4254908,2026-03-03,165012,1437,1179634/0030,13020751-0001,SACL PAP AUT FSC® G INST24 CASA BAU,BAUDUCCO,01,FLEXOGRAFICA,1,14:00:00,22:00:00
NEW LONG 18 G,,4254911,2026-03-03,165018,22606,1179945/0020,2100072233,50495344 SACL AUT FSC®M BAS PAC10,NATURA,01,FLEXOGRAFICA,1,14:00:00,22:00:00
NEW LONG FOLHA,,4254912,2026-03-03,165019,17519,1180681/0050,13021506-0001,SACL PAP AUT NLF P INST26 KOP,KOPENHAGEN,01,FLEXOGRAFICA,1,14:00:00,22:00:00
NEW LONG 21,,4254913,2026-03-03,165021,4210,1179865/0050,13021635-0001,94371 SACL PAP NLF FSC®M MAES26 EUD,EUDORA,01,FLEXOGRAFICA,1,14:00:00,22:00:00
HOT BOBINA 02,,4254928,2026-03-03,175002,18077,1181468/0020,13021506-0001,SACL PAP AUT NLF P INST26 KOP,KOPENHAGEN,02,OFFSET,1,14:00:00,19:45:00
GUILHOTINA 2,,4254934,2026-03-03,151002,60000,1181277/0030,2100077672,90823 REF FDO FSC®G PDVG INST25 BOT,BOTICARIO,02,OFFSET,1,14:00:00,17:08:10
GUILHOTINA HERCULES,,4254937,2026-03-03,151004,4468,1181045/0020,2100081194,SACL PAP MAN FSC®M MAES26 AREZZO,AREZZO,02,OFFSET,1,14:00:00,14:49:31
NEW LONG 17 P,,4254985,2026-03-03,165017,22419,1180612/0020,13019433-0003,SACL PAP AUT FSC® P INST23 V3 LUPO,LUPO,01,FLEXOGRAFICA,1,14:00:00,22:00:00
FLEXO TECH,,4254986,2026-03-03,160008,5795,1179926/0010,2100072230,SACL AUT FSC® P BAS NAT,NATURA,01,FLEXOGRAFICA,1,14:00:00,17:58:58
